Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code
SEGAMBUT,KA05,Keretapi Tanah Melayu,3.1864391,101.6642105,KA,Port Klang Line,2,Red,#ff0000
PANTAI DALAM,KD03,Keretapi Tanah Melayu,3.0956045,101.6700133,KD,Port Klang Line,2,Red,#ff0000
ABDULLAH HUKUM,KD01,Keretapi Tanah Melayu,3.118735,101.672897,KD,Port Klang Line,2,Red,#ff0000
ANGKASAPURI,KD02,Keretapi Tanah Melayu,3.1135063,101.6732256,KD,Port Klang Line,2,Red,#ff0000
PUTRA,KA04,Keretapi Tanah Melayu,3.1652222,101.6910658,KA,Port Klang Line,2,Red,#ff0000
BANK NEGARA,KA03,Keretapi Tanah Melayu,3.1545691,101.6929903,KA,Port Klang Line,2,Red,#ff0000
KUALA LUMPUR,KA02,Keretapi Tanah Melayu,3.1395804,101.693629,KA,Port Klang Line,2,Red,#ff0000
KL SENTRAL,KA01,Keretapi Tanah Melayu,3.132675,101.687891,KA,Port Klang Line,2,Red,#ff0000
PWTC,AG4,Rapid KL,3.166563,101.693594,AG,Ampang Line,3,Orange,#fe8e10
SULTAN ISMAIL,AG5,Rapid KL,3.161185,101.694127,AG,Ampang Line,3,Orange,#fe8e10
BANDARAYA,AG6,Rapid KL,3.155548,101.694406,AG,Ampang Line,3,Orange,#fe8e10
TITIWANGSA,AG3,Rapid KL,3.173591,101.695273,AG,Ampang Line,3,Orange,#fe8e10
SENTUL TIMUR,AG1,Rapid KL,3.185821,101.695335,AG,Ampang Line,3,Orange,#fe8e10
SENTUL,AG2,Rapid KL,3.178591,101.695510,AG,Ampang Line,3,Orange,#fe8e10
MASJID JAMEK,AG7,Rapid KL,3.149462,101.696396,AG,Ampang Line,3,Orange,#fe8e10
PLAZA RAKYAT,AG8,Rapid KL,3.144264,101.702054,AG,Ampang Line,3,Orange,#fe8e10
HANG TUAH,AG9,Rapid KL,3.139843,101.706133,AG,Ampang Line,3,Orange,#fe8e10
PUDU,AG10,Rapid KL,3.134920,101.712011,AG,Ampang Line,3,Orange,#fe8e10
CHAN SOW LIN,AG11,Rapid KL,3.127799,101.715510,AG,Ampang Line,3,Orange,#fe8e10
MIHARJA,AG12,Rapid KL,3.120931,101.717861,AG,Ampang Line,3,Orange,#fe8e10
MALURI,AG13,Rapid KL,3.123276,101.726946,AG,Ampang Line,3,Orange,#fe8e10
PANDAN JAYA,AG14,Rapid KL,3.130258,101.738991,AG,Ampang Line,3,Orange,#fe8e10
PANDAN INDAH,AG15,Rapid KL,3.134827,101.746748,AG,Ampang Line,3,Orange,#fe8e10
CEMPAKA,AG16,Rapid KL,3.138458,101.752945,AG,Ampang Line,3,Orange,#fe8e10
CAHAYA,AG17,Rapid KL,3.140643,101.756607,AG,Ampang Line,3,Orange,#fe8e10
AMPANG,AG18,Rapid KL,3.150512,101.760127,AG,Ampang Line,3,Orange,#fe8e10
PUTRA HEIGHTS,SP31,Rapid KL,2.995969,101.575544,SP,Sri Petaling Line,4,Maroon,#721422
PUCHONG PRIMA,SP29,Rapid KL,2.999892,101.596738,SP,Sri Petaling Line,4,Maroon,#721422
PUCHONG PERDANA,SP28,Rapid KL,3.007852,101.605253,SP,Sri Petaling Line,4,Maroon,#721422
BANDAR PUTERI,SP27,Rapid KL,3.017065,101.612829,SP,Sri Petaling Line,4,Maroon,#721422
TAMAN PERINDUSTRIAN PUCHONG (TPP),SP26,Rapid KL,3.022811,101.613433,SP,Sri Petaling Line,4,Maroon,#721422
PUSAT BANDAR PUCHONG,SP25,Rapid KL,3.033284,101.616120,SP,Sri Petaling Line,4,Maroon,#721422
IOI PUCHONG JAYA,SP24,Rapid KL,3.048212,101.621071,SP,Sri Petaling Line,4,Maroon,#721422
KINRARA,SP22,Rapid KL,3.050456,101.644155,SP,Sri Petaling Line,4,Maroon,#721422
ALAM SUTERA,SP21,Rapid KL,3.054666,101.656463,SP,Sri Petaling Line,4,Maroon,#721422
MUHIBBAH,SP20,Rapid KL,3.061934,101.662791,SP,Sri Petaling Line,4,Maroon,#721422
AWAN BESAR,SP19,Rapid KL,3.062094,101.670606,SP,Sri Petaling Line,4,Maroon,#721422
SRI PETALING,SP18,Rapid KL,3.061533,101.687067,SP,Sri Petaling Line,4,Maroon,#721422
BUKIT JALIL,SP17,Rapid KL,3.058148,101.692216,SP,Sri Petaling Line,4,Maroon,#721422
PWTC,SP4,Rapid KL,3.166563,101.693594,SP,Sri Petaling Line,4,Maroon,#721422
SULTAN ISMAIL,SP5,Rapid KL,3.161185,101.694127,SP,Sri Petaling Line,4,Maroon,#721422
BANDARAYA,SP6,Rapid KL,3.155548,101.694406,SP,Sri Petaling Line,4,Maroon,#721422
TITIWANGSA,SP3,Rapid KL,3.173591,101.695273,SP,Sri Petaling Line,4,Maroon,#721422
SENTUL TIMUR,SP1,Rapid KL,3.185821,101.695335,SP,Sri Petaling Line,4,Maroon,#721422
SENTUL,SP2,Rapid KL,3.178591,101.695510,SP,Sri Petaling Line,4,Maroon,#721422
MASJID JAMEK,SP7,Rapid KL,3.149462,101.696396,SP,Sri Petaling Line,4,Maroon,#721422
PLAZA RAKYAT,SP8,Rapid KL,3.144264,101.702054,SP,Sri Petaling Line,4,Maroon,#721422
HANG TUAH,SP9,Rapid KL,3.139843,101.706133,SP,Sri Petaling Line,4,Maroon,#721422
SALAK SELATAN,SP13,Rapid KL,3.102009,101.706273,SP,Sri Petaling Line,4,Maroon,#721422
SUNGAI BESI,SP16,Rapid KL,3.063956,101.707991,SP,Sri Petaling Line,4,Maroon,#721422
BANDAR TASIK SELATAN,SP15,Rapid KL,3.076067,101.711311,SP,Sri Petaling Line,4,Maroon,#721422
PUDU,SP10,Rapid KL,3.134920,101.712011,SP,Sri Petaling Line,4,Maroon,#721422
BANDAR TUN RAZAK,SP14,Rapid KL,3.089626,101.712414,SP,Sri Petaling Line,4,Maroon,#721422
CHERAS,SP12,Rapid KL,3.112747,101.714213,SP,Sri Petaling Line,4,Maroon,#721422
CHAN SOW LIN,SP11,Rapid KL,3.127799,101.715510,SP,Sri Petaling Line,4,Maroon,#721422
ALAM MEGAH,KJ35,Rapid KL,3.023151,101.572029,KJ,Kelana Jaya Line,5,Ruby,#e0115f
SUBANG ALAM,KJ36,Rapid KL,3.009421,101.572281,KJ,Kelana Jaya Line,5,Ruby,#e0115f
PUTRA HEIGHTS,KJ37,Rapid KL,2.996227,101.575462,KJ,Kelana Jaya Line,5,Ruby,#e0115f
USJ21,KJ34,Rapid KL,3.029881,101.581711,KJ,Kelana Jaya Line,5,Ruby,#e0115f
SS18,KJ30,Rapid KL,3.067182,101.585945,KJ,Kelana Jaya Line,5,Ruby,#e0115f
SS15,KJ29,Rapid KL,3.075972,101.585983,KJ,Kelana Jaya Line,5,Ruby,#e0115f
ARA DAMANSARA,KJ26,Rapid KL,3.108643,101.586372,KJ,Kelana Jaya Line,5,Ruby,#e0115f
SUBANG JAYA,KJ28,Rapid KL,3.084660,101.588127,KJ,Kelana Jaya Line,5,Ruby,#e0115f
WAWASAN,KJ33,Rapid KL,3.035062,101.588348,KJ,Kelana Jaya Line,5,Ruby,#e0115f
TAIPAN,KJ32,Rapid KL,3.048150,101.590233,KJ,Kelana Jaya Line,5,Ruby,#e0115f
GLENMARIE,KJ27,Rapid KL,3.094732,101.590622,KJ,Kelana Jaya Line,5,Ruby,#e0115f
LEMBAH SUBANG,KJ25,Rapid KL,3.112094,101.591034,KJ,Kelana Jaya Line,5,Ruby,#e0115f
USJ7,KJ31,Rapid KL,3.054956,101.592194,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KELANA JAYA,KJ24,Rapid KL,3.112497,101.604300,KJ,Kelana Jaya Line,5,Ruby,#e0115f
TAMAN BAHAGIA,KJ23,Rapid KL,3.110790,101.612856,KJ,Kelana Jaya Line,5,Ruby,#e0115f
TAMAN PARAMOUNT,KJ22,Rapid KL,3.104716,101.623192,KJ,Kelana Jaya Line,5,Ruby,#e0115f
ASIA JAYA,KJ21,Rapid KL,3.104343,101.637695,KJ,Kelana Jaya Line,5,Ruby,#e0115f
TAMAN JAYA,KJ20,Rapid KL,3.104086,101.645248,KJ,Kelana Jaya Line,5,Ruby,#e0115f
UNIVERSITI,KJ19,Rapid KL,3.114616,101.661639,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KERINCHI,KJ18,Rapid KL,3.115506,101.668572,KJ,Kelana Jaya Line,5,Ruby,#e0115f
ABDULLAH HUKUM,KJ17,Rapid KL,3.118735,101.672897,KJ,Kelana Jaya Line,5,Ruby,#e0115f
BANGSAR,KJ16,Rapid KL,3.127588,101.679062,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KL SENTRAL,KJ15,Rapid KL,3.132675,101.687891,KJ,Kelana Jaya Line,5,Ruby,#e0115f
PASAR SENI,KJ14,Rapid KL,3.142439,101.695310,KJ,Kelana Jaya Line,5,Ruby,#e0115f
MASJID JAMEK,KJ13,Rapid KL,3.149714,101.696815,KJ,Kelana Jaya Line,5,Ruby,#e0115f
DANG WANGI,KJ12,Rapid KL,3.156942,101.701975,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KAMPUNG BARU,KJ11,Rapid KL,3.161386,101.706608,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KLCC,KJ10,Rapid KL,3.158935,101.713287,KJ,Kelana Jaya Line,5,Ruby,#e0115f
AMPANG PARK,KJ9,Rapid KL,3.159894,101.719017,KJ,Kelana Jaya Line,5,Ruby,#e0115f
TAMAN MELATI,KJ2,Rapid KL,3.219558,101.721970,KJ,Kelana Jaya Line,5,Ruby,#e0115f
GOMBAK,KJ1,Rapid KL,3.231793,101.724427,KJ,Kelana Jaya Line,5,Ruby,#e0115f
DAMAI,KJ8,Rapid KL,3.164406,101.724489,KJ,Kelana Jaya Line,5,Ruby,#e0115f
WANGSA MAJU,KJ3,Rapid KL,3.205751,101.731796,KJ,Kelana Jaya Line,5,Ruby,#e0115f
DATO' KERAMAT,KJ7,Rapid KL,3.165090,101.731840,KJ,Kelana Jaya Line,5,Ruby,#e0115f
JELATEK,KJ6,Rapid KL,3.167204,101.735344,KJ,Kelana Jaya Line,5,Ruby,#e0115f
SETIAWANGSA,KJ5,Rapid KL,3.175760,101.735840,KJ,Kelana Jaya Line,5,Ruby,#e0115f
SRI RAMPAI,KJ4,Rapid KL,3.199176,101.737470,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KLIA2,KE3,Express Rail Link,2.7445694,101.685081,KE,KLIA Ekspres,6,Purple,#800080
KUALA LUMPUR INTERNATIONAL AIRPORT,KE2,Express Rail Link,2.7549259,101.7048248,KE,KLIA Ekspres,6,Purple,#800080
KL SENTRAL,KE1,Express Rail Link,3.132675,101.687891,KE,KLIA Ekspres,6,Purple,#800080
PUTRAJAYA & CYBERJAYA,KT3,Express Rail Link,2.9314193,101.6708369,KT,KLIA Transit,7,Teal,#139593
KLIA2,KT6,Express Rail Link,2.7445694,101.685081,KT,KLIA Transit,7,Teal,#139593
KUALA LUMPUR INTERNATIONAL AIRPORT,KT5,Express Rail Link,2.7549259,101.7048248,KT,KLIA Transit,7,Teal,#139593
BANDAR TASIK SELATAN,KT2,Express Rail Link,3.076067,101.711311,KT,KLIA Transit,7,Teal,#139593
SALAK TINGGI,KT4,Express Rail Link,2.8257973,101.7133911,KT,KLIA Transit,7,Teal,#139593
KL SENTRAL,KT1,Express Rail Link,3.132675,101.687891,KT,KLIA Transit,7,Teal,#139593
KL SENTRAL,MR1,Rapid KL,3.132675,101.687891,MR,KL Monorail Line,8,Light Green,#7dba00
TUN SAMBANTHAN,MR2,Rapid KL,3.131452,101.690862,MR,KL Monorail Line,8,Light Green,#7dba00
TITIWANGSA,MR11,Rapid KL,3.173204,101.695964,MR,KL Monorail Line,8,Light Green,#7dba00
CHOW KIT,MR10,Rapid KL,3.167394,101.698385,MR,KL Monorail Line,8,Light Green,#7dba00
MEDAN TUANKU,MR9,Rapid KL,3.159271,101.698900,MR,KL Monorail Line,8,Light Green,#7dba00
MAHARAJALELA,MR3,Rapid KL,3.138948,101.699203,MR,KL Monorail Line,8,Light Green,#7dba00
BUKIT NANAS,MR8,Rapid KL,3.156244,101.704766,MR,KL Monorail Line,8,Light Green,#7dba00
HANG TUAH,MR4,Rapid KL,3.140681,101.706037,MR,KL Monorail Line,8,Light Green,#7dba00
IMBI,MR5,Rapid KL,3.142812,101.709447,MR,KL Monorail Line,8,Light Green,#7dba00
RAJA CHULAN,MR7,Rapid KL,3.150837,101.710442,MR,KL Monorail Line,8,Light Green,#7dba00
BUKIT BINTANG,MR6,Rapid KL,3.146077,101.711499,MR,KL Monorail Line,8,Light Green,#7dba00
KWASA SENTRAL,SBK05,Rapid KL,3.170110,101.564650,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
KWASA DAMANSARA,SBK04,Rapid KL,3.176150,101.572050,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
KAMPUNG SELAMAT,SBK02,Rapid KL,3.197270,101.578500,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
KOTA DAMANSARA,SBK06,Rapid KL,3.150130,101.578690,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SUNGAI BULOH,SBK01,Rapid KL,3.206430,101.581780,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SURIAN,SBK07,Rapid KL,3.149480,101.593920,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
MUTIARA DAMANSARA,SBK08,Rapid KL,3.155300,101.609080,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
BANDAR UTAMA,SBK09,Rapid KL,3.146710,101.618600,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TTDI,SBK10,Rapid KL,3.136130,101.630540,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
PHILEO DAMANSARA,SBK12,Rapid KL,3.129860,101.642470,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
PUSAT BANDAR DAMANSARA,SBK13,Rapid KL,3.143440,101.662860,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SEMANTAN,SBK14,Rapid KL,3.150980,101.665500,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
MUZIUM NEGARA,SBK15,Rapid KL,3.137320,101.687340,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
PASAR SENI,SBK16,Rapid KL,3.142290,101.695560,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
MERDEKA,SBK17,Rapid KL,3.141970,101.702050,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
BUKIT BINTANG,SBK18A,Rapid KL,3.146500,101.710950,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TUN RAZAK EXCHANGE,SBK20,Rapid KL,3.142400,101.720160,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
COCHRANE,SBK21,Rapid KL,3.132830,101.722960,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
MALURI,SBK22,Rapid KL,3.123620,101.727810,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TAMAN PERTAMA,SBK23,Rapid KL,3.112550,101.729370,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TAMAN MIDAH,SBK24,Rapid KL,3.104510,101.732190,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TAMAN MUTIARA,SBK25,Rapid KL,3.090990,101.740450,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TAMAN CONNAUGHT,SBK26,Rapid KL,3.079170,101.745220,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
TAMAN SUNTEX,SBK27,Rapid KL,3.071580,101.763550,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
BUKIT DUKUNG,SBK31,Rapid KL,3.026410,101.771070,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SRI RAYA,SBK28,Rapid KL,3.062270,101.772900,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
BATU 11 CHERAS,SBK30,Rapid KL,3.041340,101.773380,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
BANDAR TUN HUSSIEN ONN,SBK29,Rapid KL,3.048220,101.775110,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SUNGAI JERNIH,SBK33,Rapid KL,3.000950,101.783860,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
STADIUM KAJANG,SBK34,Rapid KL,2.994510,101.786340,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
KAJANG,SBK35,Rapid KL,2.982780,101.790280,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
