Stop ID,Name,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code
KA05,SEGAMBUT,Keretapi Tanah Melayu,3.1864391,101.6642105,KA,Port Klang Line,2,Red,#ff0000
KD03,PANTAI DALAM,Keretapi Tanah Melayu,3.0956045,101.6700133,KD,Port Klang Line,2,Red,#ff0000
KD01,ABDULLAH HUKUM,Keretapi Tanah Melayu,3.118735,101.672897,KD,Port Klang Line,2,Red,#ff0000
KD02,ANGKASAPURI,Keretapi Tanah Melayu,3.1135063,101.6732256,KD,Port Klang Line,2,Red,#ff0000
KA04,PUTRA,Keretapi Tanah Melayu,3.165005,101.691234,KA,Port Klang Line,2,Red,#ff0000
KA03,BANK NEGARA,Keretapi Tanah Melayu,3.1545691,101.6929903,KA,Port Klang Line,2,Red,#ff0000
KA02,KUALA LUMPUR,Keretapi Tanah Melayu,3.1395804,101.693629,KA,Port Klang Line,2,Red,#ff0000
KA01,KL SENTRAL,Keretapi Tanah Melayu,3.134603,101.686567,KA,Port Klang Line,2,Red,#ff0000
AG4,PWTC,Rapid KL,3.166563,101.693594,AG,Ampang Line,3,Orange,#fe8e10
AG5,SULTAN ISMAIL,Rapid KL,3.161185,101.694127,AG,Ampang Line,3,Orange,#fe8e10
AG6,BANDARAYA,Rapid KL,3.155548,101.694406,AG,Ampang Line,3,Orange,#fe8e10
AG3,TITIWANGSA,Rapid KL,3.173591,101.695273,AG,Ampang Line,3,Orange,#fe8e10
AG1,SENTUL TIMUR,Rapid KL,3.185821,101.695335,AG,Ampang Line,3,Orange,#fe8e10
AG2,SENTUL,Rapid KL,3.178591,101.69551,AG,Ampang Line,3,Orange,#fe8e10
AG7,MASJID JAMEK,Rapid KL,3.149462,101.696396,AG,Ampang Line,3,Orange,#fe8e10
AG8,PLAZA RAKYAT,Rapid KL,3.144264,101.702054,AG,Ampang Line,3,Orange,#fe8e10
AG9,HANG TUAH,Rapid KL,3.139843,101.706133,AG,Ampang Line,3,Orange,#fe8e10
AG10,PUDU,Rapid KL,3.13492,101.712011,AG,Ampang Line,3,Orange,#fe8e10
AG11,CHAN SOW LIN,Rapid KL,3.128025,101.715546,AG,Ampang Line,3,Orange,#fe8e10
AG12,MIHARJA,Rapid KL,3.120931,101.717861,AG,Ampang Line,3,Orange,#fe8e10
AG13,MALURI,Rapid KL,3.123276,101.726946,AG,Ampang Line,3,Orange,#fe8e10
AG14,PANDAN JAYA,Rapid KL,3.130258,101.738991,AG,Ampang Line,3,Orange,#fe8e10
AG15,PANDAN INDAH,Rapid KL,3.134827,101.746748,AG,Ampang Line,3,Orange,#fe8e10
AG16,CEMPAKA,Rapid KL,3.138458,101.752945,AG,Ampang Line,3,Orange,#fe8e10
AG17,CAHAYA,Rapid KL,3.140643,101.756607,AG,Ampang Line,3,Orange,#fe8e10
AG18,AMPANG,Rapid KL,3.150512,101.760127,AG,Ampang Line,3,Orange,#fe8e10
SP31,PUTRA HEIGHTS,Rapid KL,2.995969,101.575544,SP,Sri Petaling Line,4,Maroon,#721422
SP29,PUCHONG PRIMA,Rapid KL,2.999892,101.596738,SP,Sri Petaling Line,4,Maroon,#721422
SP28,PUCHONG PERDANA,Rapid KL,3.007852,101.605253,SP,Sri Petaling Line,4,Maroon,#721422
SP27,BANDAR PUTERI,Rapid KL,3.017065,101.612829,SP,Sri Petaling Line,4,Maroon,#721422
SP26,TAMAN PERINDUSTRIAN PUCHONG (TPP),Rapid KL,3.022811,101.613433,SP,Sri Petaling Line,4,Maroon,#721422
SP25,PUSAT BANDAR PUCHONG,Rapid KL,3.033284,101.61612,SP,Sri Petaling Line,4,Maroon,#721422
SP24,IOI PUCHONG JAYA,Rapid KL,3.048131,101.620982,SP,Sri Petaling Line,4,Maroon,#721422
SP22,KINRARA,Rapid KL,3.050456,101.644155,SP,Sri Petaling Line,4,Maroon,#721422
SP21,ALAM SUTERA,Rapid KL,3.054838,101.656693,SP,Sri Petaling Line,4,Maroon,#721422
SP20,MUHIBBAH,Rapid KL,3.061934,101.662791,SP,Sri Petaling Line,4,Maroon,#721422
SP19,AWAN BESAR,Rapid KL,3.062094,101.670606,SP,Sri Petaling Line,4,Maroon,#721422
SP18,SRI PETALING,Rapid KL,3.061533,101.687067,SP,Sri Petaling Line,4,Maroon,#721422
SP17,BUKIT JALIL,Rapid KL,3.058148,101.692216,SP,Sri Petaling Line,4,Maroon,#721422
SP4,PWTC,Rapid KL,3.166563,101.693594,SP,Sri Petaling Line,4,Maroon,#721422
SP5,SULTAN ISMAIL,Rapid KL,3.161185,101.694127,SP,Sri Petaling Line,4,Maroon,#721422
SP6,BANDARAYA,Rapid KL,3.155548,101.694406,SP,Sri Petaling Line,4,Maroon,#721422
SP3,TITIWANGSA,Rapid KL,3.173591,101.695273,SP,Sri Petaling Line,4,Maroon,#721422
SP1,SENTUL TIMUR,Rapid KL,3.185821,101.695335,SP,Sri Petaling Line,4,Maroon,#721422
SP2,SENTUL,Rapid KL,3.178591,101.69551,SP,Sri Petaling Line,4,Maroon,#721422
SP7,MASJID JAMEK,Rapid KL,3.149462,101.696396,SP,Sri Petaling Line,4,Maroon,#721422
SP8,PLAZA RAKYAT,Rapid KL,3.144264,101.702054,SP,Sri Petaling Line,4,Maroon,#721422
SP9,HANG TUAH,Rapid KL,3.139843,101.706133,SP,Sri Petaling Line,4,Maroon,#721422
SP13,SALAK SELATAN,Rapid KL,3.102009,101.706273,SP,Sri Petaling Line,4,Maroon,#721422
SP16,SUNGAI BESI,Rapid KL,3.063949,101.707987,SP,Sri Petaling Line,4,Maroon,#721422
SP15,BANDAR TASIK SELATAN,Rapid KL,3.076067,101.711311,SP,Sri Petaling Line,4,Maroon,#721422
SP10,PUDU,Rapid KL,3.13492,101.712011,SP,Sri Petaling Line,4,Maroon,#721422
SP14,BANDAR TUN RAZAK,Rapid KL,3.089626,101.712414,SP,Sri Petaling Line,4,Maroon,#721422
SP12,CHERAS,Rapid KL,3.112747,101.714213,SP,Sri Petaling Line,4,Maroon,#721422
SP11,CHAN SOW LIN,Rapid KL,3.128025,101.715546,SP,Sri Petaling Line,4,Maroon,#721422
KJ35,ALAM MEGAH,Rapid KL,3.023151,101.572029,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ36,SUBANG ALAM,Rapid KL,3.01007,101.57208,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ37,PUTRA HEIGHTS,Rapid KL,2.996227,101.575462,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ34,USJ21,Rapid KL,3.029735,101.581854,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ30,SS18,Rapid KL,3.066939,101.586167,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ29,SS15,Rapid KL,3.075895,101.586027,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ26,ARA DAMANSARA,Rapid KL,3.108452,101.586644,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ28,SUBANG JAYA,Rapid KL,3.084862,101.58724,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ33,WAWASAN,Rapid KL,3.034969,101.588194,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ32,TAIPAN,Rapid KL,3.047826,101.590201,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ27,GLENMARIE,Rapid KL,3.095902,101.590474,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ25,LEMBAH SUBANG,Rapid KL,3.112094,101.591034,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ31,USJ7,Rapid KL,3.055025,101.591907,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ24,KELANA JAYA,Rapid KL,3.112497,101.6043,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ23,TAMAN BAHAGIA,Rapid KL,3.11079,101.612856,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ22,TAMAN PARAMOUNT,Rapid KL,3.104716,101.623192,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ21,ASIA JAYA,Rapid KL,3.104343,101.637695,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ20,TAMAN JAYA,Rapid KL,3.104086,101.645248,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ19,UNIVERSITI,Rapid KL,3.114616,101.661639,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ18,KERINCHI,Rapid KL,3.115506,101.668572,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ17,ABDULLAH HUKUM,Rapid KL,3.118735,101.672897,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ16,BANGSAR,Rapid KL,3.127588,101.679062,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ15,KL SENTRAL,Rapid KL,3.134067,101.686535,KJ,Kelana Jaya Line,5,Ruby,#e0115f
