Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
LABU,KB11,Keretapi Tanah Melayu,2.7540314,101.8266068,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
TIROI,KB12,Keretapi Tanah Melayu,2.7413407,101.8719558,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
SEREMBAN,KB13,Keretapi Tanah Melayu,2.7188308,101.9404842,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
SENAWANG,KB14,Keretapi Tanah Melayu,2.6906203,101.9717709,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
SUNGAI GADUT,KB15,Keretapi Tanah Melayu,2.6604935,101.9961253,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
REMBAU,KB16,Keretapi Tanah Melayu,2.6604935,101.9961253,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
PULAU SEBANG/TAMPIN,KB17,Keretapi Tanah Melayu,2.463626,102.2260987,KB,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
SENTUL,KC01,Keretapi Tanah Melayu,3.1823031,101.6887043,KC,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
BATU KENTOMEN,KC02,Keretapi Tanah Melayu,3.1983357,101.6811632,KC,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
KAMPUNG BATU,KC03,Keretapi Tanah Melayu,3.2047963,101.675646,KC,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
TAMAN WAHYU,KC04,Keretapi Tanah Melayu,3.2145439,101.6721822,KC,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
BATU CAVES,KC05,Keretapi Tanah Melayu,3.2378874,101.6811872,KC,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
ABDULLAH HUKUM,KD01,Keretapi Tanah Melayu,3.118735,101.672897,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
ANGKASAPURI,KD02,Keretapi Tanah Melayu,3.1135063,101.6732256,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
PANTAI DALAM,KD03,Keretapi Tanah Melayu,3.0956045,101.6700133,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
PETALING,KD04,Keretapi Tanah Melayu,3.0862146,101.6641499,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
JALAN TEMPLER,KD05,Keretapi Tanah Melayu,3.083530,101.656641,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KAMPUNG DATO HARUN,KD06,Keretapi Tanah Melayu,3.084461,101.6322709,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
SERI SETIA,KD07,Keretapi Tanah Melayu,3.0845398,101.6218982,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
SETIA JAYA,KD08,Keretapi Tanah Melayu,3.0831687,101.6114441,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
SUBANG JAYA,KD09,Keretapi Tanah Melayu,3.084660,101.588127,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
BATU TIGA,KD10,Keretapi Tanah Melayu,3.075857,101.559779,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
SHAH ALAM,KD11,Keretapi Tanah Melayu,3.0564286,101.5251133,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
PADANG JAWA,KD12,Keretapi Tanah Melayu,3.0523254,101.4927002,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
BUKIT BADAK,KD13,Keretapi Tanah Melayu,3.0359966,101.470249,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KLANG,KD14,Keretapi Tanah Melayu,3.042951,101.449642,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
TELUK PULAI,KD15,Keretapi Tanah Melayu,3.0408108,101.4321487,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
TELUK GADONG,KD16,Keretapi Tanah Melayu,3.033890,101.42491,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KAMPUNG RAJA UDA,KD17,Keretapi Tanah Melayu,3.020160,101.41028,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
JALAN KASTAM,KD18,Keretapi Tanah Melayu,3.013000,101.4026,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
